Индекс,,,,,Содержание
ПК-1,,,,,Способен разрабатывать модели угроз и модели нарушителя информационной безопасности автоматизированной системы
,06.033,,,,СПЕЦИАЛИСТ ПО ЗАЩИТЕ ИНФОРМАЦИИ В АВТОМАТИЗИРОВАННЫХ СИСТЕМАХ
,,D,,,Разработка систем защиты информации автоматизированных систем
,,,D/02.7,,Разработка проектных решений по защите информации в автоматизированных системах
,,,,ТД.1,Разработка модели угроз безопасности информации и модели нарушителя в автоматизированных системах
ПК-2,,,,,Способен создавать и исследовать модели автоматизированных систем и подсистем безопасности автоматизированных систем
,06.033,,,,СПЕЦИАЛИСТ ПО ЗАЩИТЕ ИНФОРМАЦИИ В АВТОМАТИЗИРОВАННЫХ СИСТЕМАХ
,,D,,,Разработка систем защиты информации автоматизированных систем
,,,D/02.7,,Разработка проектных решений по защите информации в автоматизированных системах
,,,,ТД.2,Разработка моделей автоматизированных систем и подсистем безопасности автоматизированных систем
ПК-3,,,,,"Способен осуществлять разработку проектов нормативных документов, регламентирующих работу по защите информации"
,06.033,,,,СПЕЦИАЛИСТ ПО ЗАЩИТЕ ИНФОРМАЦИИ В АВТОМАТИЗИРОВАННЫХ СИСТЕМАХ
,,D,,,Разработка систем защиты информации автоматизированных систем
,,,D/02.7,,Разработка проектных решений по защите информации в автоматизированных системах
,,,,ТД.3,"Разработка проектов нормативных документов, регламентирующих работу по защите информации"
ПК-4,,,,,Способен выявлять основные угрозы безопасности информации в автоматизированных системах
,06.033,,,,СПЕЦИАЛИСТ ПО ЗАЩИТЕ ИНФОРМАЦИИ В АВТОМАТИЗИРОВАННЫХ СИСТЕМАХ
,,D,,,Разработка систем защиты информации автоматизированных систем
,,,D/01.7,,Тестирование систем защиты информации автоматизированных систем
,,,,ТД.3,Выявление основных угроз безопасности информации в автоматизированных системах
ПК-5,,,,,Способен формулировать предложения по совершенствованию системы управления информационной безопасностью в автоматизированных системах
,06.033,,,,СПЕЦИАЛИСТ ПО ЗАЩИТЕ ИНФОРМАЦИИ В АВТОМАТИЗИРОВАННЫХ СИСТЕМАХ
,,D,,,Разработка систем защиты информации автоматизированных систем
,,,D/02.7,,Разработка проектных решений по защите информации в автоматизированных системах
,,,,ТД.4,Разработка предложений по совершенствованию системы управления безопасностью информации в автоматизированных системах
ПК-6,,,,,Способен разрабатывать эксплуатационную документацию на системы защиты информации автоматизированных систем
,06.033,,,,СПЕЦИАЛИСТ ПО ЗАЩИТЕ ИНФОРМАЦИИ В АВТОМАТИЗИРОВАННЫХ СИСТЕМАХ
,,D,,,Разработка систем защиты информации автоматизированных систем
,,,D/03.7,,Разработка эксплуатационной документации на системы защиты информации автоматизированных систем
