Comp,Weight
OPK;OPK-1;25.8333;10.9929%
;OPK-6;20.3333;8.65248%
;OPK-2;14.8333;6.31206%
;OPK-3;13.8333;5.88652%
;OPK-10;12.8333;5.46099%
;OPK-5;8;3.40426%
;OPK-8;7.83333;3.33333%
;OPK-9;6.33333;2.69504%
;OPK-7;6.83333;2.9078%
;OPK-4;4.83333;2.05674%
;OPK-11;4.33333;1.84397%;125.833;53.5461%
PK;PK-3;20.8333;8.86525%
;PK-2;18.3333;7.80142%
;PK-5;10.3333;4.39716%
;PK-1;9.33333;3.97163%
;PK-4;5.33333;2.2695%;64.1667;27.305%
UK;UK-4;12.3333;5.24823%
;UK-5;8.33333;3.5461%
;UK-9;3;1.2766%
;UK-8;3.33333;1.41844%
;UK-6;3;1.2766%
;UK-3;3.83333;1.63121%
;UK-1;3.33333;1.41844%
;UK-7;2.33333;0.992908%
;UK-10;2.83333;1.20567%
;UK-2;1.33333;0.567376%
;UK-11;1.33333;0.567376%;45;19.1489%
Количество зачётных единиц на все предметы;244
Количество зачётных единиц учтённых предметы;235
Количество дисциплин;49
Количество учтённых дисциплин;48
