учебный план,ОПК,ПК,УК,з.е,кол-во дисциплин,без учёта по выбору
0103040030_оп-21,48.3221,33.8926,17.7852,244,52,58,
0903010030_оп-21,39.6226,26.7296,33.6478,244,48,55,
0903020030_оп-21,32.5397,40.0794,27.381,246,47,58,
0903030031_ОП-21,39.9399,42.3423,17.7177,244,44,50,
0903030032_ОП-20,70.2222,1.33333,28.4444,244,27,33,
0903030035_ОП-21,40.6728,20.7951,38.5321,255,48,56,
0903040030_оп-21,57.2193,23.7968,18.984,244,39,49,
1003010031_оп-21,60.199,16.5837,23.2172,244,56,59,
2703030030_оп-21,45.546,16.6667,37.7874,245,41,47,
2703040030_оп-21,51.6351,20.4819,27.883,244,45,49,
Коридор з.е,244 - 255
Коридор дисциплин,33 - 59
Коридор по каждой компетенции 
ОПК,32.5397 - 70.2222
ПК,1.33333 - 42.3423
УК,17.7177 - 38.5321
